juicystar007	7	7	8	12	3	-4	7	145	0.0137931	1	0	0	2	0	0	0
machadaynu	1	1	2	10	1	-15	1	177	0.225989	2	0	0	5	1	4981	4981
mileylovesshanedawson	1	1	2	21	4	-3	1	166	0.0361446	1	0	0	2	0	0	0
twittesuainfancia	8	8	52	17	3	-10	7	11	0	0	0	0	1	0	0	0
Happybdayweezy	1	1	2	14	3	-21	1	82	0.0243902	1	0	0	2	0	0	0
secretturnons	5	5	7	13	3	-21	4	20	0.1	1	0	0	2	0	0	0
HuelgaOEA	6	20	29	9	2	-12	6	12	0.333333	2	0	0	3	0	0	0
getwellfab	1	1	2	10	3	-11	1	87	0.091954	2	0	0	3	1	9656	9656
meatpop	2	2	4	7	2	-10	2	130	3.64615	69	0.0860264	0.23384	119	3	43353	55016
googlewaveinvite	416	419	439	16	3	-1	22	44	0.818182	10	0.1875	0.155303	15	12	29853	105897
shiwake3	13	68	84	8	3	-3	22	40	0.9	6	0.195652	0.0716667	16	1	29332	29332
shjobs	11	11	76	6	2	-13	11	1	0	0	0	0	1	0	0	0
tsuribaka	145	145	147	9	2	-4	141	58	2.06897	17	0.293948	0.206339	29	0	0	0
ha1lday	34	35	36	7	2	-21	31	21	0.190476	1	0	0	2	0	0	0
lingerieday	10	178	182	11	2	-3	1	18	2	9	0.268657	0.265432	14	0	0	0
mcflybrasil2010	27	27	28	15	4	-4	24	18	0	0	0	0	1	0	0	0
GOP	791	791	792	3	1	-12	1	10	0.8	3	0	0	4	1	18708	18708
phish	24	26	47	5	1	-5	33	48	2.45833	14	0.351621	0.195419	28	1	6282	6282
RingNight	1	1	26	9	2	-5	1	17	0.117647	1	0	0	2	0	0	0
TreySongzAnticipation	10	10	11	21	3	-2	7	32	3.125	21	0.178378	0.241707	30	2	251307	261647
sherilyn	1	1	2	8	1	-14	1	77	0.025974	1	0	0	2	0	0	0
tylive	1	1	1	6	2	-17	1	93	0	0	0	0	1	0	0	0
disniggabowwow	3	3	4	14	3	-23	1	7	0	0	0	0	1	0	0	0
Wimbledon	548	558	572	9	1	-18	242	95	0.505263	4	0.346154	0.0385965	10	1	6674	6674
stopleakinggaga	2	2	3	15	3	-13	1	25	0	0	0	0	1	0	0	0
itcaty%	9	12	18	7	1	-18	8	44	0.136364	1	0	0	2	0	0	0
anightforjackie	3	3	8	15	4	-11	3	55	0.763636	4	0.413793	0.0545455	9	0	0	0
BLLLOLLLLLLU	6	6	8	12	1	-3	5	15	1.6	5	0.222222	0.135556	9	0	0	0
happy6yearsmcfly	30	35	51	16	5	-9	1	25	0.64	3	0	0	6	0	0	0
EmoRocker!	1	1	2	10	2	-8	1	123	0.0325203	1	0	0	2	0	0	0
Gypsy!	11	11	12	6	1	-21	11	60	0.2	3	0.6	0.0388889	4	0	0	0
davidchoi	1	1	2	9	2	-21	1	100	0.1	1	0	0	2	0	0	0
RIPGusDur	1	1	2	9	3	-10	1	30	0	0	0	0	1	0	0	0
medicate	7	8	9	8	1	-2	1	26	1.76923	10	0.197368	0.126129	14	0	0	0
signedtosodmoneygang	3	3	4	20	5	-22	3	113	1.23894	55	0.0119048	0.0678764	63	2	1241331	1245685
futureTylerPerrymovie	3	3	4	21	4	-21	1	40	2.3	14	0.172249	0.194101	32	0	0	0
Gilad	4	91	104	5	1	-17	17	40	6.8	16	0.44839	0.388649	37	2	5160	10074
couldbeattheraiders	1	1	2	19	4	-15	1	95	1.6	24	0.0614525	0.0786738	46	2	23054	29750
iran%	215	216	217	5	1	-15	101	113	2.24779	18	0.142857	0.0928646	72	5	8937	31961
jamansmp	13	13	27	8	1	-21	13	44	0.409091	4	0.642857	0.0871212	5	0	0	0
killerlambchop	1	1	2	14	3	-7	1	78	0.025641	1	0	0	2	0	0	0
REPASSEM%	1	1	2	9	1	-3	1	61	0.131148	1	0	0	2	0	0	0
ryanleslieonbetnow.	1	1	1	19	5	-23	1	85	0.235294	8	0	0	9	0	0	0
CHUPA.	2	2	3	6	1	-4	1	56	0.642857	4	0.142857	0.0238095	10	1	11179	11179
letsmakethisstupidhashtagsentenceatrendingtopic	1	1	3	47	9	-23	1	76	0	0	0	0	1	0	0	0
knewshewasagroupie-	1	1	2	19	5	-1	1	134	0.61194	29	0.0211268	0.0299059	38	2	85367	91032
Mousavi	188	205	211	7	1	-20	32	41	2.34146	10	0.309417	0.126481	25	2	25263	40368
PakCricket	3	3	74	10	2	-24	66	66	12.9394	48	0.517718	0.496933	59	1	4424	4424
buckIDOL	1	1	2	8	2	-22	1	88	2.15909	75	0.0197232	0.195765	77	2	81921	106263
thanksfab	1	1	2	9	2	-4	1	80	0	0	0	0	1	0	0	0
tmtweet	1	1	2	7	3	-3	1	33	0.30303	3	0	0	4	0	0	0
ondoy	3	9	14	5	1	-21	3	53	1.32075	8	0.296703	0.199865	22	1	8406	8406
duststorm	13	25	36	9	2	-13	18	13	0	0	0	0	1	1	4692	4692
rejectedweirdalsongparodytitles	5	5	6	31	5	-6	1	73	0.383562	13	0	0	15	1	786981	786981
BlameDrewsCancer	464	464	465	16	3	-14	103	92	1.32609	24	0.130435	0.0992352	38	7	16380	48476
foryourentertainment	2	2	3	20	3	-3	1	28	0.428571	3	0	0	6	0	0	0
GaGaForPresident	1	1	2	16	4	-19	1	72	0.0277778	1	0	0	2	0	0	0
twitpocalypse	16	32	39	13	2	-16	25	103	0.31068	3	0	0	10	3	26940	36480
firstdraftmovies	13	24	31	16	3	-7	17	56	0	0	0	0	1	0	0	0
ilovetheNHS	47	47	48	11	4	-24	47	147	0.92517	52	0.00672143	0.0272263	56	1	13802	13802
mikebailey	1	1	2	10	2	-4	1	89	1.37079	35	0.0124481	0.0563057	47	1	6084	6084
NewMoonCancelled	2	2	3	16	3	-22	1	48	0	0	0	0	1	0	0	0
SouljaBoyMadeTwitter	1	1	2	20	4	-4	1	53	1.28302	34	0	0	35	1	1241331	1241331
piraten+	315	319	339	8	1	-24	325	147	11.0204	126	0.280018	0.502884	139	1	10883	10883
sarneystreaming	1	1	2	15	2	-15	1	86	0.465116	6	0	0	13	1	7500	7500
CMONBRAZIL	8	12	13	10	2	-8	1	11	0.181818	1	0	0	2	0	0	0
iranelections	66	84	85	13	2	-10	46	77	3.37662	21	0.212363	0.215794	59	4	15105	39837
church..	1	1	2	8	1	-5	1	59	0	0	0	0	1	0	0	0
CorinthiansCampeao	2	2	3	18	2	-19	2	87	0.16092	2	0	0	3	0	0	0
ns2009	5	5	56	6	2	-18	5	16	0.75	4	0.375	0.135417	5	0	0	0
Neda),	1	1	2	6	1	-3	1	88	0.159091	4	0	0	7	1	6028	6028
signmattg.	73	73	74	10	2	-1	72	29	0.758621	2	0.75	0.206897	4	0	0	0
snsd%	24	40	357	5	1	-12	31	102	1.80392	63	0.0279412	0.182522	69	0	0	0
goodchoicekevin	1	1	2	15	3	-4	1	52	0.115385	1	0	0	2	0	0	0
hashtags	504	504	505	8	1	-4	409	149	0.697987	11	0.133333	0.0324792	30	10	29292	124457
shortstackhot30	2	2	4	15	4	-20	1	17	1.64706	12	0.0441176	0.118538	13	1	7990	7990
namadrugaboladona	1	1	2	17	4	-24	1	32	0.0625	1	0	0	2	0	0	0
nxgrammy	2	2	3	8	2	-3	1	27	1.11111	8	0.218182	0.160494	11	0	0	0
youknowhecrazy	1	1	2	14	4	-17	1	74	0.351351	4	0.789474	0.0585586	5	0	0	0
DailyDoseStyle	1	1	2	14	3	-14	1	53	6.26415	47	0.320186	0.781963	48	1	5826	5826
I.B.R.A.D	1	1	2	9	2	-15	1	66	0.151515	2	0	0	3	0	0	0
signedtoyoungmoney%	2	2	3	19	4	-19	1	45	0.177778	1	0	0	2	1	6034	6034
TilaTrivia	1	1	2	10	2	-23	1	67	0.925373	30	0	0	32	1	226311	226311
credoaction	22	22	24	11	2	-5	22	57	0.0350877	1	0	0	2	0	0	0
internetgangsters	1	1	2	17	2	-4	1	44	0.136364	1	0	0	2	0	0	0
EVERYOTHER	1	1	2	10	2	-3	1	65	0.707692	19	0.0171429	0.0308592	22	1	149210	149210
spd-	318	323	342	4	1	-20	69	96	6.75	63	0.257424	0.47292	88	1	10883	10883
spreadthewave	2	2	3	13	3	-23	1	39	0.153846	1	0	0	2	1	8767	8767
twitterisafraidofmishasminions	1	1	3	30	6	-11	1	58	0.103448	1	0	0	2	0	0	0
hitomoji	12	14	15	8	2	-7	2	18	0.333333	2	0	0	3	0	0	0
uknowhecrazy	1	1	2	12	4	-17	1	79	0.556962	12	0.0422535	0.0295359	13	1	5127	5127
unpublishedNHLbooks	2	2	3	19	3	-15	1	43	1.81395	18	0.210744	0.15934	22	0	0	0
XurupitaDay	1	1	2	11	1	-19	1	64	0.0625	1	0	0	2	0	0	0
JBcomebacktoBrazil	3	4	1	18	5	-4	1	10	0.6	3	0	0	4	1	6129	6129
mikeybdayvideoBR	38	38	39	16	4	-9	1	10	0	0	0	0	1	0	0	0
prayersforanissa	1	1	29	16	3	-9	1	38	5.52632	19	0.382653	0.401456	33	4	7844	23940
BrazilovesJonas	3	3	4	15	3	-15	1	17	2	14	0.0918367	0.276449	15	1	6129	6129
ILUVDDUB	1	1	2	8	3	-11	1	46	0.565217	3	0	0	6	0	0	0
DODGERS%PHILLIES	10	10	11	16	2	-19	1	17	0.117647	1	0	0	2	0	0	0
Ebuyer042	1	1	3	9	2	-8	1	69	0.347826	3	0.833333	0.0917874	5	0	0	0
exclusivetilaBLOCKparty	1	1	2	23	3	-3	1	67	0	0	0	0	1	0	0	0
GagaVMAs	11	11	56	8	2	-2	1	15	0.4	2	0	0	4	0	0	0
longlivekanyewest	10	10	11	17	4	-6	10	48	0.0416667	1	0	0	2	0	0	0
happbdaytravismckoy	1	1	2	19	4	-17	1	107	1.62617	38	0.0623324	0.22682	58	3	45494	69187
givenachance	2	2	3	12	3	-15	1	42	0.47619	10	0	0	11	1	38097	38097
hicp	3	3	4	4	1	-7	1	58	0.206897	2	0.75	0.0517241	3	1	7568	7568
HORIREVELACAO2009	1	1	2	17	3	-14	1	44	0.545455	7	0.387097	0.0714286	9	0	0	0
iranelection.	92	93	109	13	2	-7	26	31	0.129032	1	0	0	2	1	406062	406062
bbcawdio	8	38	40	8	2	-10	27	77	1.32468	45	0.0119048	0.0429096	48	1	867976	867976
boycottTheValleySwimClub	1	1	2	24	5	-3	1	89	0.898876	24	0.11215	0.109811	29	1	4618	4618
knewHEwasagroupie	2	2	3	17	5	-4	1	33	0.181818	1	0	0	2	0	0	0
LeRoi	21	38	43	5	2	-1	30	54	2.33333	12	0.37013	0.152095	32	0	0	0
myteamwillgo	1	1	2	12	4	-6	1	87	0.206897	2	0	0	3	0	0	0
green	8	106	795	5	1	-19	2	17	1.05882	4	0	0	8	3	26849	47022
theyhadahelluvarun	2	3	5	18	5	-19	1	13	0	0	0	0	1	0	0	0
thingsivelearnedontour	2	5	6	22	6	-2	2	29	2.06897	13	0.214286	0.193575	20	3	18524	31918
yamamaever	1	1	2	10	2	-4	1	1749	1.38822	717	0.00313402	0.0990816	895	4	154348	174751
lilmamais	1	1	2	9	2	-21	1	2359	1.24544	267	0.0112657	0.0368059	964	8	154348	206210
